"playerid","Made.it.flag","Rk_Avg_AB","Rk_Avg_AB_HR","Rk_Avg_AB_HR_norm","Rk_Avg_AB_norm","Rk_Avg_Age","Rk_Avg_BABIP","Rk_Avg_BABIP_norm","Rk_Avg_Bavg","Rk_Avg_Bavg_norm","Rk_Avg_BB","Rk_Avg_BBpct","Rk_Avg_BBpct_norm","Rk_Avg_BB_norm","Rk_Avg_CS","Rk_Avg_CS_norm","Rk_Avg_Dbl","Rk_Avg_Dbl_norm","Rk_Avg_G","Rk_Avg_GDP","Rk_Avg_GDP_norm","Rk_Avg_G_norm","Rk_Avg_H","Rk_Avg_HBP","Rk_Avg_HBP_norm","Rk_Avg_HR","Rk_Avg_HRpct","Rk_Avg_HRpct_norm","Rk_Avg_HR_norm","Rk_Avg_H_norm","Rk_Avg_IBB","Rk_Avg_IBB_norm","Rk_Avg_ISO","Rk_Avg_ISO_norm","Rk_Avg_K_BB","Rk_Avg_K_BB_norm","Rk_Avg_OBP","Rk_Avg_OBP_norm","Rk_Avg_OPS","Rk_Avg_OPS_norm","Rk_Avg_orgs","Rk_Avg_orgs_norm","Rk_Avg_PA","Rk_Avg_PA_norm","Rk_Avg_R","Rk_Avg_RBI","Rk_Avg_RBI_norm","Rk_Avg_R_norm","Rk_Avg_SB","Rk_Avg_SB_norm","Rk_Avg_SecA","Rk_Avg_SecA_norm","Rk_Avg_SF","Rk_Avg_SF_norm","Rk_Avg_SH","Rk_Avg_SH_norm","Rk_Avg_SLG","Rk_Avg_SLG_norm","Rk_Avg_SO","Rk_Avg_SOpct","Rk_Avg_SOpct_norm","Rk_Avg_SO_norm","Rk_Avg_TB","Rk_Avg_TB_norm","Rk_Avg_teams","Rk_Avg_teams_norm","Rk_Avg_Tpl","Rk_Avg_Tpl_norm","Rk_Avg_wOBA","Rk_Avg_wOBA_norm","Rk_Avg_wRAA","Rk_Avg_wRAA_norm","Rk_Avg_XBH","Rk_Avg_XBHpct","Rk_Avg_XBHpct_norm","Rk_Avg_XBH_norm","Rk_Sum_AB","Rk_Sum_AB_HR","Rk_Sum_BABIP","Rk_Sum_Bavg","Rk_Sum_BB","Rk_Sum_BBpct","Rk_Sum_CS","Rk_Sum_Dbl","Rk_Sum_G","Rk_Sum_GDP","Rk_Sum_H","Rk_Sum_HBP","Rk_Sum_HR","Rk_Sum_HRpct","Rk_Sum_IBB","Rk_Sum_ISO","Rk_Sum_K_BB","Rk_Sum_OBP","Rk_Sum_OPS","Rk_Sum_orgs","Rk_Sum_PA","Rk_Sum_R","Rk_Sum_RBI","Rk_Sum_SB","Rk_Sum_SecA","Rk_Sum_SF","Rk_Sum_SH","Rk_Sum_SLG","Rk_Sum_SO","Rk_Sum_SOpct","Rk_Sum_TB","Rk_Sum_teams","Rk_Sum_Tpl","Rk_Sum_wOBA","Rk_Sum_wRAA","Rk_Sum_XBH","Rk_Sum_XBHpct","Rk_Years","M_Rk_Avg_AB_HR_norm","M_Rk_Avg_AB_norm","M_Rk_Avg_Age","M_Rk_Avg_BABIP_norm","M_Rk_Avg_Bavg_norm","M_Rk_Avg_BBpct_norm","M_Rk_Avg_BB_norm","M_Rk_Avg_CS_norm","M_Rk_Avg_Dbl_norm","M_Rk_Avg_GDP_norm","M_Rk_Avg_G_norm","M_Rk_Avg_HBP_norm","M_Rk_Avg_HRpct_norm","M_Rk_Avg_HR_norm","M_Rk_Avg_H_norm","M_Rk_Avg_IBB_norm","M_Rk_Avg_ISO_norm","M_Rk_Avg_K_BB_norm","M_Rk_Avg_OBP_norm","M_Rk_Avg_OPS_norm","M_Rk_Avg_orgs_norm","M_Rk_Avg_PA_norm","M_Rk_Avg_RBI_norm","M_Rk_Avg_R_norm","M_Rk_Avg_SB_norm","M_Rk_Avg_SecA_norm","M_Rk_Avg_SF_norm","M_Rk_Avg_SH_norm","M_Rk_Avg_SLG_norm","M_Rk_Avg_SOpct_norm","M_Rk_Avg_SO_norm","M_Rk_Avg_TB_norm","M_Rk_Avg_teams_norm","M_Rk_Avg_Tpl_norm","M_Rk_Avg_wOBA_norm","M_Rk_Avg_wRAA_norm","M_Rk_Avg_XBHpct_norm","M_Rk_Avg_XBH_norm","orgName"
143224,0,13,0,-0.977027378286557,-1.57145079719553,27,0.5,1.85621561597295,0.153846153846154,-1.23554647848585,1,0.0666666666666667,-0.471087279508944,-1.30016176172665,0,-0.822481636451512,1,-1.02067423818228,6,0,-1.10407622896497,-1.54224047945188,2,1,-0.446358266532744,0,0,-0.549639167226171,-0.922485304976918,-1.48692621449604,0,-0.331951044986223,0.153846153846154,-0.260052383617287,9,1.78406594229406,0.266666666666667,-0.810423605522393,0.574358974358974,-0.680820074382334,1,0,15,-1.5876282307466,5,1,-1.27730168237701,-1.07339359316314,0,-0.759533036045316,0.230769230769231,-0.429535300778718,0,-0.898170557621759,0,-0.520243679405075,0.307692307692308,-0.576566867328127,9,0.6,3.38936725513001,-1.04458522795647,4,-1.35872069107258,1,0,0,-0.752611026802181,0.293466666666667,-0.576771553231083,-0.348523206751055,-0.676737843012204,2,1,0.500302342470918,-1.11133530463517,13,0,0.5,0.153846153846154,1,0.0666666666666667,0,1,6,0,2,1,0,0,0,0.153846153846154,9,0.266666666666667,0.574358974358974,1,15,5,1,0,0.230769230769231,0,0,0.307692307692308,9,0.6,4,1,0,0.293466666666667,-0.348523206751055,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"ATL"
165157,0,58.5,17.6666666666667,-0.316830121217437,-0.614284412387185,24.5,0.33458177278402,0,0.290308747855918,-0.829081895503495,2.5,0.0217391304347826,-0.982867660175339,-0.882211175526729,0,-0.736630263649565,1.5,-0.838091622681642,17,0.5,-0.700828712530103,-0.601561321611769,13.5,0.5,-0.643169607673394,1.5,0.0130434782608696,0.0450718468244458,-0.31931888729498,-0.695351526946418,0,-0.27364958592915,0.0849056603773585,-0.51999864948338,1.6,-0.390475539009437,0.309011164274322,-1.43647894596917,0.684225572507598,-1.00527883094586,1,-0.0755928946018464,63,-0.664904811528935,11,11.5,-0.3880293486551,-0.519726053444663,3,-0.0705561888113575,0.136792452830189,-0.621244871557536,1,0.00758203058567147,0.5,-0.153986570536169,0.375214408233276,-0.716842205835485,9,0.160474308300395,-0.736325531027493,-0.785528722034828,22.5,-0.745726015112964,1,-0.0755928946018464,0,-0.746069182811162,0.308737240829346,-1.08258732284916,-1.1004684079334,-1.10408280717549,9,0.391304347826087,-0.675917304316137,-0.735516272006133,117,35.3333333333333,0.66916354556804,0.580617495711835,5,0.0434782608695652,0,3,34,1,27,1,3,0.0260869565217391,0,0.169811320754717,3.2,0.618022328548644,1.3684511450152,2,126,22,23,6,0.273584905660377,2,1,0.750428816466552,18,0.320948616600791,45,2,0,0.617474481658692,-2.2009368158668,18,0.782608695652174,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KCA"
170916,0,186,37.2,-0.0268724508584253,0.839289000416996,23,0.408805031446541,0,0.376344086021505,1.16043303509371,25,0.113636363636364,0.406663060664633,1.06422619806433,0,-0.785528441579343,18,2.10599013928502,48,4,0.486957487550231,0.79990503235123,70,6,1.56233689550427,5,0.0227272727272727,-0.0815281181427923,0.38696006717782,1.42489618535597,1,2.1242602951705,0.301075268817204,0.338447110820427,1,-0.694844335341434,0.459090909090909,1.2443104471599,1.13651026392962,0.942773996707326,1,-0.0755928946018464,220,0.922718814720031,45,43,1.51160423922257,1.47689631437161,0,-0.709615644114424,0.435483870967742,0.363981149087395,3,1.38372773160507,0,-0.509644373753588,0.67741935483871,0.710853210565651,25,0.113636363636364,-0.99140370323226,-0.129618111553513,126,1.23658453176744,1,-0.0755928946018464,0,-0.797401714630943,0.525703196347032,0.93505252708655,38.003968942065,1.90545292552883,56,0.8,-0.129884490951474,0.950550223138586,186,37.2,0.408805031446541,0.376344086021505,25,0.113636363636364,0,18,48,4,70,6,5,0.0227272727272727,1,0.301075268817204,1,0.459090909090909,1.13651026392962,1,220,45,43,0,0.435483870967742,3,0,0.67741935483871,25,0.113636363636364,126,1,0,0.525703196347032,38.003968942065,56,0.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KCA"
171108,0,77,0,-0.690220037848748,-0.0401248977838499,23,0.269230769230769,-0.26519442640872,0.181818181818182,-0.631137749911198,12,0.130434782608696,0.567664193100363,0.44539362871013,0,-0.689816618554906,2,-0.484878287464096,26,2,0.223349138721478,0.099210957492052,14,0,-0.79694856534379,0,0,-0.538145701659129,-0.668347266566851,-0.366140709336466,0,-0.349980235417712,0.0519480519480519,-0.786833204365398,2.25,-0.0172218837754261,0.285714285714286,-0.477105713859035,0.519480519480519,-0.771554734202259,1,0,92,0.0152014734920774,4,5,-0.547676179911758,-0.804583968252634,1,-0.429136437575448,0.220779220779221,-0.462170324441021,2,1.15755421423784,1,0.535127463565798,0.233766233766234,-0.828355417881024,27,0.293478260869565,0.96450616860543,0.606469944005881,18,-0.566123368622623,1,0,0,-0.659654071223519,0.253384615384615,-0.773780875296603,-5.24946445959104,-1.21738428762077,4,0.285714285714286,-0.778625562074619,-0.758691417460649,77,0,0.269230769230769,0.181818181818182,12,0.130434782608696,0,2,26,2,14,0,0,0,0,0.0519480519480519,2.25,0.285714285714286,0.519480519480519,1,92,4,5,1,0.220779220779221,2,1,0.233766233766234,27,0.293478260869565,18,1,0,0.253384615384615,-5.24946445959104,4,0.285714285714286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"ATL"
172856,0,155,0,-0.844363856558651,0.441842873735589,22,0.317460317460317,0,0.258064516129032,-0.31618975871682,30,0.157068062827225,1.26685850358563,1.51386305142323,6,2.33873240561123,6,-0.143541545607423,50,3,0.121216885312933,0.900576287771198,40,4,0.737573828495985,0,0,-0.937939645862345,-0.857856325397889,0.195730070811303,0,-0.337630775391337,0.0967741935483871,-0.997650077164015,1.03333333333333,-0.681826369136927,0.387434554973822,0.305908129432968,0.742273264651241,-0.60769062033969,1,-0.0755928946018464,191,0.597275908006281,27,17,-0.178272735829689,0.308583057146453,10,1.286891393185,0.316129032258064,-0.362345251846706,2,0.63864356843311,0,-0.509644373753588,0.354838709677419,-0.873813953188489,31,0.162303664921466,-0.504468282571875,0.171485908648232,55,-0.235116886547737,1,-0.0755928946018464,1,-0.168819281926371,0.35448167539267,-0.583458128785439,5.39662447257384,-0.534666763326589,15,0.375,-1.02181674867795,-0.615870964509406,155,0,0.317460317460317,0.258064516129032,30,0.157068062827225,6,6,50,3,40,4,0,0,0,0.0967741935483871,1.03333333333333,0.387434554973822,0.742273264651241,1,191,27,17,10,0.316129032258064,2,0,0.354838709677419,31,0.162303664921466,55,1,1,0.35448167539267,5.39662447257384,15,0.375,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LAN"
173149,0,51,51,0.395079657623949,-0.499014318986678,23,0.369565217391304,0.587515623557713,0.352941176470588,1.10043932692597,2,0.0363636363636364,-1.0073748315117,-0.878387284310948,0,-0.689816618554906,6,0.658566032227354,18,1,-0.345830924471966,-0.400799609772516,18,1,-0.363347073180158,1,0.0181818181818182,0.326825139981039,0.0356451875502321,-0.107071152349625,0,-0.349980235417712,0.313725490196078,0.856678467173631,2.5,0.104816906933949,0.381818181818182,0.520971143865291,1.04848484848485,0.975399759645577,1,0,55,-0.558880012520097,8,9,-0.060167242300165,-0.353308615097092,0,-0.724448097579459,0.352941176470588,0.203093642965377,1,0.208936134105171,0,-0.521749276976653,0.666666666666667,1.08213179222976,5,0.0909090909090909,-1.07387299793261,-0.893309171933534,34,0.0374359582489993,1,0,0,-0.659654071223519,0.495763636363636,1.02664303974743,8.11139240506329,0.846784028299912,16,0.888888888888889,0.425970367432068,0.214569020635014,51,51,0.369565217391304,0.352941176470588,2,0.0363636363636364,0,6,18,1,18,1,1,0.0181818181818182,0,0.313725490196078,2.5,0.381818181818182,1.04848484848485,1,55,8,9,0,0.352941176470588,1,0,0.666666666666667,5,0.0909090909090909,34,1,0,0.495763636363636,8.11139240506329,16,0.888888888888889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"SLN"
173327,0,47,0,-0.690220037848748,-0.569612691479421,23,0.171428571428571,-1.09638369892362,0.127659574468085,-1.17916347369743,7,0.127272727272727,0.514721704878109,-0.216496827800409,0,-0.689816618554906,1,-0.770739367386958,14,1,-0.345830924471966,-0.650804893404801,6,1,-0.363347073180158,0,0,-0.538145701659129,-0.668347266566851,-0.884279823310149,0,-0.349980235417712,0.0425531914893617,-0.845816755123919,1.71428571428571,-0.278733578152658,0.254545454545455,-0.800806316364222,0.424758220502901,-1.08436038964557,1,0,55,-0.558880012520097,4,0,-1.15706235192625,-0.804583968252634,1,-0.429136437575448,0.212765957446809,-0.502506708149219,0,-0.739681946027502,0,-0.521749276976653,0.170212765957447,-1.1088311997909,12,0.218181818181818,0.206825717433728,-0.416106725952811,8,-0.943347947917386,1,0,0,-0.659654071223519,0.219418181818182,-1.02608810491882,-4.71476793248945,-1.13477703862046,2,0.333333333333333,-0.683525883429354,-0.920901490476592,47,0,0.171428571428571,0.127659574468085,7,0.127272727272727,0,1,14,1,6,1,0,0,0,0.0425531914893617,1.71428571428571,0.254545454545455,0.424758220502901,1,55,4,0,1,0.212765957446809,0,0,0.170212765957447,12,0.218181818181818,8,1,0,0.219418181818182,-4.71476793248945,2,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"BAL"
173609,0,110.5,87,1.2068097747113,0.144768634965963,22.5,0.334126379901028,0,0.270481780386403,-0.237498261867983,6.5,0.0724903474903475,-1.09458021755692,-0.322854950638261,1.5,0.283638685922825,5,-0.137465063464579,29,1.5,-0.335088110292805,0.0859985562522062,29.5,0.5,-0.545709417172719,0.5,0.0027027027027027,-0.734252579810127,-0.568282165810122,0.0690541072987726,0,-0.27364958592915,0.142271949131817,-0.465393574872572,3.19047619047619,0.184312912020741,0.329993928354584,-0.975091511860154,0.742747657872804,-0.647518493877202,1,-0.0755928946018464,120.5,0.0886953996193063,19.5,10,-0.42570420285386,0.188208146253824,4,0.217703538957399,0.248349229640499,-0.81723000620618,1,0.00758203058567147,2,1.37685177421049,0.41275372951822,-0.443039488558772,21.5,0.178474903474903,-0.343634475221788,-0.107412055334263,47.5,-0.114520663362254,1,-0.0755928946018464,2,0.578406191935165,0.348682149362477,-0.678113060128777,2.60184479401111,-0.67204343196721,18,0.529264214046823,-0.464677011685652,-0.29393947457669,221,174,0.668252759802056,0.540963560772805,13,0.144980694980695,3,10,58,3,59,1,1,0.0054054054054054,0,0.284543898263634,6.38095238095238,0.659987856709168,1.48549531574561,2,241,39,20,8,0.496698459280998,2,4,0.825507459036439,43,0.356949806949807,95,2,4,0.697364298724954,5.20368958802222,36,1.05852842809365,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MIL"
173757,0,7,0,-0.844363856558651,-1.45564186009823,23,0.166666666666667,0,0.142857142857143,-1.75445871372707,1,0.125,0.631727895730263,-1.0940306980584,0,-0.785528441579343,0,-1.26830738805364,2,1,-0.610264319161662,-1.51553384230803,1,0,-0.911952305520594,0,0,-0.937939645862345,-0.857856325397889,-1.40218587809676,0,-0.337630775391337,0,-1.63053821884086,1,-0.694844335341434,0.25,-1.4939169734807,0.392857142857143,-1.98188262783566,1,-0.0755928946018464,8,-1.45638105504946,1,1,-1.21819702816954,-1.37898053662321,0,-0.709615644114424,0.142857142857143,-1.41678049026841,0,-0.851524757910814,0,-0.509644373753588,0.142857142857143,-1.91516666079835,1,0.125,-0.877706068334786,-1.3340341923605,1,-1.35443909202689,1,-0.0755928946018464,0,-0.797401714630943,0.19625,-1.98676586627652,-0.842194092827004,-1.00153900528039,0,0,-1.80881579961308,-1.18895188681965,7,0,0.166666666666667,0.142857142857143,1,0.125,0,0,2,1,1,0,0,0,0,0,1,0.25,0.392857142857143,1,8,1,1,0,0.142857142857143,0,0,0.142857142857143,1,0.125,1,1,0,0.19625,-0.842194092827004,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CHA"
173910,0,35.5,28,-0.118040512745512,-0.931836336448417,23,0.456521739130435,0,0.345238095238095,0.885722510265257,6,0.166801619433198,1.15535375627086,-0.5055087201582,0,-0.762625887035001,3.5,-0.465634541929809,12,2,-0.155008711395897,-0.873263016623712,12.5,0,-0.814486664438107,0.5,0.00769230769230769,-0.418789077788344,-0.634945922766353,-0.76274714272138,0,-0.338380341794773,0.1875,-0.125414096800454,1.25,-0.553345555637772,0.452226720647773,1.08516592304722,0.984964815885868,0.540991446128923,1,-0.0634797221477982,42,-0.915941436988728,6.5,8,-0.608780612111278,-0.844101593891018,0,-0.662874691139272,0.392261904761905,0.253475757082571,0.5,-0.41170154535421,0,-0.485918759828885,0.532738095238095,0.246623432254866,7.5,0.208502024291498,-0.144645143931969,-0.860624511853505,23,-0.758763209190512,1,-0.111121829938422,0.5,-0.427091347908301,0.459419028340081,0.547556042500779,6.51181434599156,-0.227016160856296,10.5,0.525,-0.402679040818587,-0.697675131057526,71,56,0.91304347826087,0.69047619047619,12,0.333603238866397,0,7,24,4,25,0,1,0.0153846153846154,0,0.375,2.5,0.904453441295547,1.96992963177174,2,84,13,16,0,0.78452380952381,1,0,1.06547619047619,15,0.417004048582996,46,2,1,0.918838056680162,13.0236286919831,21,1.05,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ARI"
