"playerid","AA.WAR","AAprob","posit","eWAR.AA","PlayerName","Level"
171720,6.89217026928155,0.88449695739013,"RF-OF",6.09610363299424,"Anthony Santander","AA"
185120,8.04052287550428,0.74646389919412,"IF",6.00196005720844,"Nick Senzel","AA"
168737,7.03781508671608,0.801009725023239,"C",5.63735832737485,"Brian O'Keefe","AA"
193982,5.34070591213121,0.947877430657928,"OF",5.06233459789054,"Austin Hays","AA"
183005,5.90906239486904,0.828194624270413,"SS",4.893853709909,"Edmundo Sosa","AA"
197344,5.84189140536012,0.826965965994331,"OF",4.83104536926762,"Kyle Tucker","AA"
187874,6.01852348247169,0.786366286883474,"1B",4.73276396343226,"Bobby Bradley","AA"
193102,5.5719385000967,0.812118512222999,"OF",4.52507440489658,"Cedric Mullins","AA"
190236,6.36350719523172,0.699770670867436,"OF",4.45299569907706,"Victor Robles","AA"
181556,5.44549260788448,0.779839219828142,"C",4.24660870691254,"Francisco Mejia","AA"
175881,6.23168131800592,0.661725422540768,"OF",4.12366195329688,"Dalton Kelly","AA"
188434,6.55412314256276,0.599435793600225,"OF",3.92877600731571,"Eloy Jimenez","AA"
188434,6.55412314256276,0.599435793600225,"OF",3.92877600731571,"Eloy Jimenez","AA"
184451,6.11724884286179,0.631540769975938,"SS",3.86329204435535,"Jorge Mateo","AA"
184451,6.11724884286179,0.631540769975938,"SS",3.86329204435535,"Jorge Mateo","AA"
182684,4.42851295586215,0.840589353953269,"IF",3.72256084454184,"Peter Alonso","AA"
171036,6.22032040360783,0.59582818622995,"OF",3.7062422238508,"Braden Bishop","AA"
183007,4.585270663758,0.804688559424071,"OF",3.68971484498888,"Magneuris Sierra","AA"
167793,6.63038022373255,0.549779995727727,"OF",3.64525041107689,"Greg Allen","AA"
181632,5.87343379329835,0.617114145468319,"SS",3.62457907631606,"Thairo Estrada","AA"
181148,5.77756718363669,0.623743963944954,"SS",3.60372265707983,"Oscar Mercado","AA"
187776,5.3222095531846,0.663116155184719,"SS",3.52924313599515,"Nick Gordon","AA"
204357,7.40936875126489,0.451938413406237,"3B",3.3485783577884,"Fernando Tatis","AA"
181016,5.42147347189095,0.616615456897459,"OF",3.3429643419275,"Jason Martin","AA"
171021,5.27622834081005,0.629617318436909,"OF",3.32200473940164,"D.J. Stewart","AA"
187782,5.95881828507872,0.550554375367683,"SS",3.28065347887104,"Cole Tucker","AA"
203500,6.33591754967618,0.503068712998916,"OF",3.18740188738284,"Yusniel Diaz","AA"
169819,5.35714837699779,0.593860930950003,"OF",3.18140112240121,"Scott Heineman","AA"
180694,5.4813575155181,0.575835365651807,"SS",3.15635950921664,"Luis Guillorme","AA"
181536,6.02317601791126,0.521575592229012,"1B",3.14154159864165,"Samir Duenez","AA"
181666,5.28229007499566,0.587678940528123,"C",3.10429063483567,"Raudy Read","AA"
181010,4.37781657739402,0.703238441901276,"SS-2B",3.07864890881615,"Josh Van Meter","AA"
173158,6.00167803458398,0.512513436157731,"OF-1B",3.07594063221701,"Joe McCarthy","AA"
187783,5.56742099756133,0.543408632649755,"SS",3.02538463167034,"Michael Chavis","AA"
181175,5.29036343372166,0.55366853081003,"OF",2.92910774979978,"Charcer Burks","AA"
165577,5.23349206851157,0.545487967497871,"C",2.8548069513686,"Matt Beaty","AA"
180886,5.58392775232832,0.50852955801696,"C",2.83959231189016,"Reese McGuire","AA"
165185,5.14285756731314,0.545104686376571,"3B",2.8033957613096,"Kevin Kramer","AA"
197397,9.26675702060062,0.30048646946124,"C",2.78453510047544,"Austin Allen","AA"
181201,5.54163730431041,0.500952288459009,"RF-OF",2.77609588940411,"Franmil Reyes","AA"
188071,4.38003172764453,0.628335674020099,"OF",2.75213018781895,"Ramon Laureano","AA"
197362,5.90096101785974,0.454836626126504,"3B",2.68397320026734,"Austin Riley","AA"
196419,7.96864505036626,0.333157139855584,"C",2.65481099350438,"Garrett Hope","AA"
